epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,750.391,0.63216,0.39751,0.95962,0.97676,0.92285,0.96871,0.76481,0.73139,0.44545,0.94231,0.000339673,0.000339673,0.000339673
79,760.091,0.62677,0.3948,0.96125,0.96922,0.91917,0.96177,0.75367,0.74067,0.45772,0.95022,0.000325526,0.000325526,0.000325526
80,770.299,0.62599,0.39016,0.96581,0.96957,0.92746,0.9678,0.77101,0.70934,0.4068,0.93486,0.000311379,0.000311379,0.000311379
81,779.935,0.60887,0.38479,0.94777,0.98168,0.91917,0.96843,0.77976,0.68552,0.38884,0.92941,0.000297232,0.000297232,0.000297232
82,789.276,0.6106,0.38341,0.9474,0.98329,0.92881,0.96203,0.77001,0.67333,0.3989,0.93633,0.000283085,0.000283085,0.000283085
83,798.886,0.62058,0.39645,0.95069,0.98828,0.93809,0.97288,0.77285,0.67648,0.39434,0.92212,0.000268938,0.000268938,0.000268938
84,808.828,0.60315,0.40081,0.93906,0.97961,0.93049,0.97104,0.77171,0.65956,0.38881,0.92457,0.000254791,0.000254791,0.000254791
85,817.991,0.60026,0.37416,0.94407,0.97772,0.93165,0.96407,0.76612,0.67594,0.41534,0.92341,0.000240644,0.000240644,0.000240644
86,827.797,0.59551,0.37894,0.93121,0.97766,0.92869,0.9655,0.77294,0.66622,0.40836,0.92199,0.000226497,0.000226497,0.000226497
87,837.678,0.59472,0.36897,0.93515,0.97685,0.92795,0.96099,0.78064,0.6723,0.40195,0.92154,0.000212349,0.000212349,0.000212349
88,847.222,0.60356,0.37752,0.93697,0.97544,0.92869,0.95605,0.76211,0.71552,0.40841,0.93632,0.000198202,0.000198202,0.000198202
89,856.489,0.57882,0.36687,0.92476,0.97851,0.92941,0.97474,0.77644,0.66006,0.38761,0.91938,0.000184055,0.000184055,0.000184055
90,866.28,0.58404,0.38089,0.93532,0.97797,0.9224,0.96703,0.76649,0.71478,0.41053,0.92792,0.000169908,0.000169908,0.000169908
91,878.471,0.53841,0.31951,0.90126,0.98162,0.92191,0.97478,0.77759,0.69316,0.38606,0.92912,0.000155761,0.000155761,0.000155761
92,888.389,0.50191,0.29707,0.88546,0.95941,0.9442,0.97504,0.77251,0.68872,0.40705,0.92899,0.000141614,0.000141614,0.000141614
93,897.229,0.47553,0.28579,0.87412,0.93361,0.96565,0.97397,0.77446,0.66739,0.4022,0.92629,0.000127467,0.000127467,0.000127467
94,907.05,0.48804,0.29371,0.88206,0.96106,0.94359,0.97094,0.77201,0.65478,0.39193,0.92373,0.00011332,0.00011332,0.00011332
95,916.761,0.46917,0.2787,0.87507,0.96783,0.9518,0.96865,0.76637,0.65064,0.38231,0.91978,9.91726e-05,9.91726e-05,9.91726e-05
96,925.363,0.46352,0.27627,0.8707,0.96826,0.95437,0.97541,0.76406,0.6694,0.3771,0.92243,8.50255e-05,8.50255e-05,8.50255e-05
97,935.019,0.4621,0.27378,0.86214,0.96925,0.95197,0.97043,0.77231,0.6611,0.38106,0.9191,7.08784e-05,7.08784e-05,7.08784e-05
98,944.721,0.46061,0.2778,0.88093,0.96841,0.95348,0.97076,0.7735,0.66982,0.39461,0.92025,5.67313e-05,5.67313e-05,5.67313e-05
99,953.218,0.4555,0.2709,0.86965,0.96457,0.95078,0.97131,0.78158,0.65822,0.39464,0.91896,4.25842e-05,4.25842e-05,4.25842e-05
100,962.938,0.43052,0.26445,0.86341,0.96834,0.94496,0.97066,0.7744,0.65909,0.40159,0.92189,2.84371e-05,2.84371e-05,2.84371e-05
